date,hillary intelligence
2016-11-07,15.0
2016-11-08,8.0
2016-11-09,29.0
2016-11-10,8.0
2016-11-11,0.0
2016-11-12,0.0
2016-11-13,9.0
2016-11-14,4.0
2016-11-15,4.0
2016-11-16,4.0
2016-11-17,0.0
2016-11-18,0.0
2016-11-19,4.0
2016-11-20,0.0
2016-11-21,0.0
2016-11-22,0.0
2016-11-23,0.0
2016-11-24,8.0
2016-11-25,0.0
2016-11-26,0.0
2016-11-27,0.0
2016-11-28,0.0
2016-11-29,0.0
2016-11-30,4.0
2016-12-01,0.0
2016-12-02,4.0
2016-12-03,0.0
2016-12-04,4.0
2016-12-05,0.0
2016-12-06,4.0
2016-12-07,0.0
2016-12-08,4.0
2016-12-09,0.0
2016-12-10,0.0
2016-12-11,5.0
2016-12-12,4.0
2016-12-13,8.0
2016-12-14,12.0
2016-12-15,4.0
2016-12-16,4.0
2016-12-17,5.0
2016-12-18,4.0
2016-12-19,4.0
2016-12-20,4.0
2016-12-21,4.0
2016-12-22,0.0
2016-12-23,0.0
2016-12-24,0.0
2016-12-25,0.0
2016-12-26,0.0
2016-12-27,4.0
2016-12-28,0.0
2016-12-29,0.0
2016-12-30,0.0
2016-12-31,0.0
2017-01-01,0.0
2017-01-02,0.0
2017-01-03,0.0
2017-01-04,4.0
2017-01-05,8.0
2017-01-06,100.0
2017-01-07,57.0
2017-01-08,13.0
2017-01-09,0.0
2017-01-10,4.0
2017-01-11,11.0
2017-01-12,0.0
2017-01-13,4.0
2017-01-14,9.0
2017-01-15,4.0
2017-01-16,0.0
2017-01-17,4.0
2017-01-18,0.0
2017-01-19,0.0
2017-01-20,0.0
2017-01-21,0.0
2017-01-22,0.0
2017-01-23,4.0
2017-01-24,4.0
2017-01-25,0.0
2017-01-26,4.0
2017-01-27,4.0
2017-01-28,4.0
2017-01-29,0.0
2017-01-30,7.0
2017-01-31,4.0
2017-02-01,0.0
2017-02-02,0.0
2017-02-03,0.0
2017-02-04,0.0
2017-02-05,4.0
2017-02-06,7.0
2017-02-07,0.0
2017-02-08,0.0
2017-02-09,0.0
2017-02-10,0.0
2017-02-11,0.0
2017-02-12,0.0
2017-02-13,0.0
2017-02-14,0.0
2017-02-15,7.0
2017-02-16,7.0
2017-02-17,0.0
2017-02-18,0.0
2017-02-19,0.0
2017-02-20,4.0
2017-02-21,0.0
2017-02-22,0.0
2017-02-23,0.0
2017-02-24,0.0
2017-02-25,0.0
2017-02-26,0.0
2017-02-27,0.0
2017-02-28,0.0
2017-03-01,6.519699812382739
2017-03-02,3.4859287054409007
2017-03-03,0.0
2017-03-04,0.0
2017-03-05,0.0
2017-03-06,4.985928705440901
2017-03-07,0.0
2017-03-08,0.0
2017-03-09,0.0
2017-03-10,2.0
2017-03-11,0.0
2017-03-12,2.0
2017-03-13,5.033771106941838
2017-03-14,0.0
2017-03-15,0.0
2017-03-16,0.0
2017-03-17,0.0
2017-03-18,1.7335834896810507
2017-03-19,3.7335834896810507
2017-03-20,4.985928705440901
2017-03-21,3.4859287054409007
2017-03-22,3.4859287054409007
2017-03-23,0.0
2017-03-24,1.6097560975609755
2017-03-25,0.0
2017-03-26,1.7954971857410882
2017-03-27,0.0
2017-03-28,3.4859287054409007
2017-03-29,3.095684803001876
2017-03-30,5.547842401500938
2017-03-31,7.2195121951219505
2017-04-01,1.7954971857410882
2017-04-02,0.0
2017-04-03,0.0
2017-04-04,3.095684803001876
2017-04-05,0.0
2017-04-06,0.0
2017-04-07,0.0
2017-04-08,3.5909943714821764
2017-04-09,0.0
2017-04-10,0.0
2017-04-11,0.0
2017-04-12,3.095684803001876
2017-04-13,0.0
2017-04-14,0.0
2017-04-15,0.0
2017-04-16,0.0
2017-04-17,0.0
2017-04-18,0.0
2017-04-19,0.0
2017-04-20,0.0
2017-04-21,0.0
2017-04-22,0.0
2017-04-23,7.058161350844277
2017-04-24,0.0
2017-04-25,0.0
2017-04-26,0.0
2017-04-27,3.095684803001876
2017-04-28,0.0
2017-04-29,0.0
2017-04-30,0.0
2017-05-01,0.0
2017-05-02,0.0
2017-05-03,3.095684803001876
2017-05-04,0.0
2017-05-05,3.219512195121951
2017-05-06,0.0
2017-05-07,0.0
2017-05-08,0.0
2017-05-09,0.0
2017-05-10,6.191369606003752
2017-05-11,6.191369606003752
2017-05-12,3.219512195121951
2017-05-13,0.0
2017-05-14,0.0
2017-05-15,0.0
2017-05-16,12.382739212007504
2017-05-17,0.0
2017-05-18,3.095684803001876
2017-05-19,0.0
2017-05-20,0.0
2017-05-21,0.0
2017-05-22,0.0
2017-05-23,0.0
2017-05-24,0.0
2017-05-25,6.439024390243902
2017-05-26,3.343339587242026
2017-05-27,0.0
2017-05-28,3.8386491557223263
2017-05-29,0.0
2017-05-30,0.0
2017-05-31,0.0
2017-06-01,0.0
2017-06-02,3.343339587242026
2017-06-03,0.0
